TotalSqFeet,TotBathroom,OverallQual,GarageCars,Age,SalePrice
2566,3.5,7,2,5,208500
2524,2.5,6,2,31,181500
2706,3.5,7,2,6,223500
2473,2,7,3,36,140000
3343,3.5,8,3,8,250000
2158,2.5,5,2,14,143000
3380,3,8,2,2,307000
3197,3.5,7,2,36,200000
2726,2,7,2,58,129900
2068,2,5,1,58,118000
2080,2,5,1,43,129500
3499,4,9,3,0,345000
1824,2,5,1,46,144000
2988,2,7,3,0,279500
2506,2.5,6,1,48,157000
1686,1,7,2,6,132000
2008,2,6,2,40,149000
1296,2,4,2,39,90000
2228,2.5,5,2,4,159000
2368,1,5,1,44,139000
3534,3.5,8,3,0,325300
1745,1,7,1,57,139400
3572,2,8,2,6,230000
2100,2,5,2,31,129900
2120,2,5,1,9,154000
3166,2,8,3,2,256300
1800,1.5,5,2,10,134800
3408,3,8,3,2,306000
3084,2,5,1,9,207500
1040,1,4,1,58,68500
1966,1,4,1,58,40000
2456,1.5,5,1,2,149350
2468,2,8,2,1,179900
3098,2,5,2,51,165500
3122,3,9,2,2,277500
3569,3.5,8,3,1,309000
2194,1.5,5,2,14,145000
2594,1.5,5,2,19,153000
2114,2,5,1,3,109000
1152,2,4,0,53,82000
2412,2,6,2,41,160000
2678,2,5,1,48,170000
1724,2,5,2,24,144000
1876,2,5,1,28,130250
2300,2,5,1,47,141000
3504,3,9,2,5,319900
3583,2.5,7,2,6,239686
3312,2,8,3,1,249700
2188,2,4,0,1,113000
1910,2,5,1,41,127000
2264,2.5,6,2,10,177000
1992,1,6,2,56,114500
1632,2,5,2,47,110000
3684,2.5,9,3,19,385000
1744,1,5,2,52,130000
2850,2,6,2,44,180500
2709,3.5,8,2,9,172500
2580,2.5,7,2,2,196500
4355,3.5,10,3,0,438780
1560,1,5,1,36,124900
2316,2.5,6,2,2,158000
1641,1,5,1,11,101000
2740,2,8,2,1,202500
2286,2,7,2,60,140000
3091,3.5,7,2,11,219500
3616,2.5,8,3,2,317000
4154,3,7,2,21,180000
2932,3,7,2,4,226000
1494,1,4,1,60,80000
3591,2,7,2,53,225000
4446,3,7,2,34,244000
1690,2,4,2,1,129500
2550,2.5,7,2,11,185000
2172,2,5,2,7,144900
2445,2,3,1,60,107400
1450,2,4,1,36,91000
1904,1,4,1,52,135750
1957,2,5,1,7,127000
3536,2,4,0,42,136500
1670,1.5,5,2,28,110000
3038,2.5,6,1,41,193500
2574,3,6,2,8,153500
3126,2,8,3,1,245000
2130,1.5,5,2,47,126500
1858,2.5,7,2,13,168500
3705,2.5,8,2,14,260000
2244,2.5,6,2,4,174000
1836,2.5,6,2,0,164500
2539,1,3,0,27,85000
1980,2,4,0,12,123600
1040,1,4,2,56,109900
2470,1,5,2,45,98600
1840,2,5,2,3,163500
3505,2.5,6,2,9,133900
2610,3.5,6,2,10,204750
2150,2.5,6,2,16,185000
3176,2,7,2,7,214000
1920,2,4,1,42,94750
1293,1,5,1,60,83000
2175,2.5,4,0,51,128950
3220,3,6,2,9,205000
2473,2.5,6,2,25,178000
1535,2,5,2,30,118964
2452,2,7,3,1,198900
2858,1.5,7,1,57,169500
3045,2.5,8,2,4,250000
1688,1,4,1,12,100000
1578,1,5,1,58,115000
2310,2,5,0,2,115000
3688,2,6,2,33,190000
2849,2,6,1,34,136900
1814,2.5,7,2,10,180000
3960,3.5,7,3,0,383970
4068,3,6,2,54,217000
3348,3.5,6,1,5,259500
2187,2.5,6,2,8,176000
2184,1.5,5,1,47,139000
2250,1.5,5,2,0,155000
4895,4,7,3,20,320000
2184,2.5,6,2,0,163990
1926,2,6,2,37,180000
1855,1,4,1,57,100000
2160,1,6,1,50,136000
2398,2,6,2,15,153900
2948,2,6,2,11,181000
1274,2,6,0,24,84500
2036,2,6,2,31,128000
1512,1,5,0,57,87000
2008,1.5,6,2,40,155000
2061,2,5,2,15,150000
3081,2.5,7,2,40,226000
3046,3.5,6,2,9,244000
2390,2,5,2,5,150750
2563,3,8,2,7,220000
3182,2.5,5,2,13,180000
2986,2,7,2,38,174000
2428,2,5,1,40,143000
3866,3,7,3,17,171000
2856,2.5,8,3,8,230000
2692,3.5,6,2,12,231500
1728,1,4,0,39,115000
3468,3,7,2,1,260000
2295,2,5,2,58,166000
2991,3,7,2,10,204000
3456,3,5,2,43,125000
2679,2,6,2,0,130000
1590,2,5,1,16,105000
2919,2.5,7,2,9,222500
2160,2,7,0,3,141000
2240,1,5,1,56,115000
1938,1.5,5,2,32,122000
3420,3,8,3,0,372402
2818,2.5,6,2,35,190000
2854,2,6,2,33,235000
2400,1,6,1,56,125000
1668,1,6,0,58,79000
1040,1,5,2,56,109500
2742,2.5,8,3,0,269500
2938,2.5,7,2,5,254900
3854,3.5,7,2,0,320000
2464,2,6,2,24,162500
4240,3.5,9,3,4,412500
3082,2,7,2,5,220000
1764,1,4,0,51,103200
2765,2,6,1,3,152000
1999,3,5,0,9,127500
3484,2,5,1,16,190000
3743,2.5,8,3,0,325624
2560,2.5,7,2,3,183500
3393,2.5,8,2,25,228000
2102,1.5,5,2,57,128500
2736,2,6,2,50,215000
2831,3,7,2,19,239000
2724,2.5,6,2,47,163000
3257,3,6,2,22,184000
3360,3,6,2,6,243000
3211,3,6,2,18,211000
2972,3,5,2,48,172500
4450,3,9,3,0,501837
1936,1,5,2,1,100000
2281,2.5,6,2,7,177000
2595,1.5,7,1,56,200100
1340,1,5,1,1,120000
3444,2.5,7,2,5,200000
1756,1,5,2,15,127000
4715,2.5,10,3,13,475000
2405,3,7,2,18,173000
2316,2.5,5,1,22,135000
2310,3,5,2,30,153337
3186,2.5,8,2,6,286000
3580,2.5,8,2,13,315000
2204,2.5,7,2,3,184000
2862,3,7,2,10,192000
2679,2,7,2,2,130000
1728,1,5,1,36,127000
2311,2.5,6,2,33,148500
3452,3,7,3,0,311872
4472,3.5,8,2,16,235000
2984,1,6,0,59,104000
3426,3,8,3,4,274900
2242,2,4,2,6,140000
2475,2.5,6,2,31,171500
1927,2,6,1,56,112000
1696,2,6,2,4,149000
2004,1.5,5,1,59,110000
2866,2,7,2,19,180500
2836,1.5,5,1,45,143900
2200,2,4,1,48,141000
3219,3.5,7,2,18,277000
2184,2,6,2,44,145000
1728,2,5,0,58,98000
2424,2,6,2,1,186000
2752,3.5,7,2,0,252678
1980,1.5,5,2,11,156000
2081,1.5,6,1,33,161750
2306,1.5,5,1,10,134450
2872,3,7,2,4,210000
2014,1,4,1,56,107000
2752,2,7,2,2,311500
2496,2,7,2,0,167240
2996,2,7,2,0,204900
3277,2.5,6,2,7,200000
2265,3.5,6,2,31,179900
1728,1,4,2,38,97000
4784,2,10,3,6,386250
1932,2.5,5,1,38,112000
3723,2.5,7,3,12,290000
1470,1.5,6,1,38,106000
1824,1,5,1,43,125000
2928,2,7,2,3,192500
2388,2,6,1,51,148000
4256,3.5,8,3,13,403000
1470,1.5,6,1,34,94500
1788,2,5,1,34,128200
2820,3.5,6,2,8,216500
1470,1.5,6,1,37,89500
2828,2,7,2,6,185500
2740,2.5,7,2,7,194500
3388,2,8,3,0,318000
2222,1.5,6,1,60,113000
3132,3,8,2,2,262500
1552,1,5,0,10,110500
1980,1,5,1,56,79000
1843,1.5,6,1,29,120000
3058,3.5,7,2,8,205000
3717,2.5,7,2,18,241500
2948,2,6,1,56,137000
2742,1,6,2,52,140000
2508,2.5,7,2,4,180000
3588,2.5,6,2,1,277000
2034,1,3,0,44,76500
3198,3.5,8,2,0,235000
2438,2.5,6,2,4,173000
2604,2.5,6,1,16,158000
2628,2,5,1,53,145000
3266,2.5,7,2,7,230000
2592,2.5,6,2,5,207500
3208,3.5,7,2,3,220000
2755,2.5,7,2,7,231500
882,1,5,1,52,97000
2744,2,6,2,47,176000
4056,2.5,8,3,0,276000
1718,2,6,2,11,151000
2242,2,5,2,9,130000
1444,1,5,2,4,73000
2844,2,6,2,27,175500
2313,3.5,6,2,9,185000
2912,2.5,5,1,11,179500
1518,1,5,1,53,120500
2256,2.5,6,1,31,148000
3034,2.5,8,3,0,266000
2748,2,7,2,3,241500
3422,2.5,8,3,3,290000
2872,3,6,1,21,139000
1632,1,5,1,25,124500
2500,2.5,7,2,2,205000
3120,2,7,2,7,201000
1728,1,4,2,59,141000
4242,2.5,9,3,0,415298
3182,2.5,7,2,31,192000
2789,2.5,7,2,18,228500
2524,2,6,2,0,185000
2628,3,7,2,1,207500
2936,2,8,3,0,244600
3150,3,6,2,15,179200
1875,2.5,7,2,0,164700
2646,1.5,6,2,25,159000
1716,1,4,0,35,88000
1782,1,5,1,43,122000
2094,1,6,1,4,153575
2998,2.5,8,2,0,233230
2496,3,5,0,8,135900
2484,1.5,5,1,1,131000
3058,3.5,7,2,12,235000
3060,2,6,2,56,167000
2006,2,6,2,22,142500
2468,1.5,5,1,57,152000
2925,2.5,7,2,9,239000
2445,2.5,6,2,39,175000
2244,1.5,6,1,5,158500
2501,2,5,1,53,157000
3480,2.5,8,2,8,267000
3082,2,7,3,4,205000
1788,2,5,2,34,149900
4963,3,7,3,6,295000
4000,3,8,3,2,305900
2943,3.5,7,3,16,225000
1725,1,6,0,58,89500
1722,1,4,2,59,82500
3840,3,9,3,2,360000
2198,2.5,6,2,12,165600
1944,2,6,1,7,132000
1911,2,5,2,56,119900
4172,4,7,2,44,375000
2369,2,7,2,16,178000
2148,3.5,7,2,4,188500
3198,3.5,7,2,29,260000
3047,2.5,8,3,1,270000
3993,3.5,7,3,16,260000
2844,3,7,2,29,187500
3845,3.5,9,3,0,342643
3604,3.5,8,3,3,354000
4232,3.5,7,2,20,301000
2325,2,3,1,1,126175
3688,2.5,7,2,3,242000
1523,1,5,2,57,87000
3438,3.5,8,2,15,324000
2766,1.5,6,1,46,145250
2978,2,6,2,15,214500
1788,1,5,1,59,78000
3456,2.5,5,1,43,119000
2112,2,5,1,15,139000
4835,3,8,3,5,284000
2716,3,7,2,4,207000
2581,3.5,6,2,10,192000
3285,4,5,2,43,228950
3844,3,9,3,1,377426
3072,3,7,2,5,214000
2829,3,7,2,8,202500
2430,1,6,1,11,155000
2875,2.5,8,2,8,202900
1562,1,4,1,59,82000
1040,2,3,2,56,87500
3368,2,9,2,3,266000
1648,1.5,5,1,34,85000
2549,1,6,1,56,140200
1916,1,6,1,9,151500
2956,3,6,2,49,157500
2390,3.5,7,2,4,154000
4576,3.5,9,3,0,437154
3738,2,9,2,0,318061
2906,2.5,7,2,20,190000
1727,1.5,5,1,58,95000
1344,1,6,2,7,105900
2535,1,6,1,6,140000
2400,3,6,2,12,177500
2325,3,6,2,17,173000
2284,2.5,5,2,31,134000
2414,1.5,5,1,48,130000
3010,3.5,8,2,8,280000
1800,2,6,2,29,156000
2388,2,5,1,26,145000
1922,3,7,2,6,198500
1470,1.5,6,1,2,118000
2370,3.5,6,2,30,190000
2016,1,5,1,12,147000
2788,2.5,6,2,46,159000
2530,1.5,6,1,46,165000
2536,1,5,1,56,132000
2350,2,5,2,4,162000
2617,2.5,6,2,6,172400
1588,2,4,2,49,134432
1496,2,6,1,26,125000
1927,2,5,1,56,123000
2775,2.5,7,2,3,219500
1587,1.5,1,0,59,61000
1784,1,5,2,10,148000
4046,3,8,2,2,340000
3712,2.5,9,3,0,394432
2782,2.5,6,2,9,179000
2717,2,5,1,60,127000
2594,3,7,2,0,187750
2736,2.5,7,2,1,213500
1568,1,6,2,59,76000
3533,3.5,6,2,15,240000
2525,2,8,2,5,192000
1842,1,5,0,10,81000
2166,2,6,1,33,125000
2947,2,7,2,8,191000
4014,3.5,10,3,0,426000
2228,2,5,1,58,119000
2765,3.5,6,2,7,215000
882,1,5,1,48,106500
1576,1,4,0,56,100000
1769,1,5,1,57,109000
2288,2,5,1,54,129000
1788,1,5,2,37,123000
2676,2,5,1,45,169500
2038,1,5,1,57,67000
2642,3,7,2,2,241000
2548,2.5,8,2,12,245500
2620,2,7,2,1,164990
1344,1,5,1,11,108000
3404,2.5,8,2,8,258000
2378,2.5,6,2,11,168000
2901,3,4,2,16,150000
2703,1,6,1,58,115000
2520,2,6,1,32,177000
3235,2.5,7,3,1,280000
3112,3.5,8,3,0,339750
2552,1,5,1,51,60000
2112,2,5,2,51,145000
2948,3.5,7,2,1,222000
2036,1,5,2,60,115000
3177,3,7,3,15,228000
2680,2,7,2,0,181134
2072,1.5,6,2,28,149500
3994,3.5,6,3,57,239000
1890,2.5,5,1,57,126000
2112,2,5,1,42,142000
2688,4,7,4,10,206300
3204,2.5,6,2,9,215000
1976,1,5,2,54,113000
4100,3.5,8,3,10,315000
2392,2,6,1,52,139000
2040,1.5,7,1,17,135000
3162,3.5,7,2,20,275000
1814,1,4,1,51,109008
2416,3,7,2,0,195400
2804,3,6,2,21,175000
1470,1.5,6,1,37,85400
2099,1,6,0,10,79900
2130,2.5,5,2,36,122500
2530,2.5,6,2,10,181000
1260,2,4,0,36,81000
2460,3.5,7,2,13,212000
1766,1,6,2,56,116000
1788,1,6,1,5,119000
1134,1,5,1,5,90350
1880,1,6,2,9,110000
5496,3,10,3,1,555000
2880,2,4,0,53,118000
2651,2,5,2,16,162900
2516,2,7,3,0,172500
2823,3.5,7,2,13,210000
3125,1,6,2,53,127500
3405,2.5,6,2,8,190000
2816,2.5,7,2,7,199900
2156,2,6,1,56,119500
1832,1.5,3,1,5,120000
1626,1,6,1,1,110000
3066,3,7,2,31,280000
2628,3.5,6,2,10,204000
2358,2.5,8,2,1,210000
3456,4,5,2,30,188000
2484,1.5,7,2,34,175500
1968,1,5,3,58,98000
3027,2,4,2,14,256000
2254,1,8,1,12,161000
1912,2,5,1,59,110000
2767,3.5,8,2,0,263435
1695,2,7,2,2,155000
1728,1,5,1,44,62383
2375,1.5,6,1,13,188700
2080,2,5,0,31,124000
2789,2,7,2,2,178740
2554,2,7,2,37,167000
2372,1.5,5,1,12,146500
3260,2,8,3,1,250000
2542,2.5,6,2,15,187000
2990,2.5,8,2,25,212000
2777,2.5,7,2,30,190000
1619,2,6,2,3,148000
3952,3,8,3,0,440000
3146,3,8,2,7,251000
1940,2,5,2,44,132500
2971,3,6,2,10,208900
4796,2.5,9,3,1,380000
3423,3,8,3,1,297000
2038,1,4,2,7,89471
3683,3,9,3,1,326000
3584,3,9,3,2,374000
2736,2.5,7,1,4,155000
2432,3,6,2,8,164000
1998,2,5,1,6,132500
2226,1,5,1,2,147000
2146,2.5,5,2,42,156000
2968,2,5,2,36,175000
3368,2,5,2,36,160000
1260,2,4,1,7,86000
1568,1.5,5,1,32,115000
2384,2,6,1,56,133000
2184,2.5,6,2,0,172785
2538,1.5,5,1,48,155000
1076,1,5,1,13,91300
1440,1,4,0,59,34900
6428,4,8,2,14,430000
2846,3,7,1,58,184000
1763,1,5,1,5,130000
1824,1.5,5,1,22,120000
1890,1.5,6,1,34,113000
2634,2.5,7,2,3,226700
2428,2,5,2,42,140000
3302,3,7,2,13,289000
2177,3,6,2,35,147000
2920,2,5,2,57,124500
2688,2.5,8,2,12,215000
2436,2,6,2,0,208300
2067,2,7,2,3,161000
2082,2,5,1,50,124500
2371,2,5,1,9,164900
2736,2,7,2,0,202665
1728,2,5,2,48,129900
2164,1.5,6,2,24,134000
1557,1,5,1,57,96500
4026,3.5,10,3,0,402861
2808,2.5,6,2,37,158000
3608,2.5,7,3,12,265000
2590,3.5,6,2,9,211000
3356,1.5,7,1,5,234000
1294,2,4,0,8,106250
2488,1.5,6,1,50,150000
2668,2,6,2,56,159000
7814,4.5,10,3,-1,184750
3777,3.5,7,3,10,315750
2523,2,7,2,1,176000
1856,1,5,1,7,132000
4165,3.5,9,3,0,446261
1133,2,4,0,5,86000
4550,4,6,2,32,200624
2970,3,6,2,19,175000
1973,2,6,2,9,128000
827,1,5,1,3,107500
334,1,1,0,57,39300
2121,2.5,8,2,2,178000
2464,2,5,0,17,107500
2604,2.5,7,2,9,188000
1728,1,4,2,36,111250
2210,1.5,5,1,38,158000
3182,3,8,2,8,272000
3676,3,9,3,3,315000
3254,2.5,8,3,7,248000
3330,3,7,2,10,213250
1490,2,7,1,9,133000
2150,3.5,7,2,0,179665
3387,2.5,7,3,18,229000
2700,1.5,6,2,57,210000
1536,2,5,2,37,129500
1650,2,5,2,13,125000
3006,2.5,7,2,5,263000
2138,2,6,2,31,140000
1856,1,5,1,51,112500
3426,2,8,3,3,255500
1126,2,4,2,6,108000
3044,3.5,7,3,4,284000
2041,1,5,1,56,113000
2184,2,5,1,49,141000
1973,1.5,4,1,56,108000
2175,3,7,2,11,175000
2931,2,7,2,2,234000
2784,2.5,5,2,14,121500
2778,2,5,2,31,170000
1992,2,5,0,39,108000
2837,2,6,2,58,185000
3390,3.5,7,2,6,268000
2453,2.5,6,1,60,128000
3626,2.5,9,3,1,325000
3052,2,7,2,6,214000
3628,2.5,8,2,0,316600
1886,2,5,2,27,135960
3456,2,5,2,43,142600
1728,2,6,1,47,120000
2538,2.5,7,2,0,224500
1814,2.5,7,2,7,170000
1481,1.5,5,1,2,139000
2048,1,5,1,58,118500
2338,2.5,7,1,59,145000
2484,2,5,2,40,164500
2081,2,7,2,1,146000
2845,2,5,1,54,131500
2573,1.5,6,2,20,181900
4084,2.5,8,3,0,253293
1632,2,6,0,17,118500
4012,3.5,10,2,8,325000
2457,1,4,1,14,133000
3896,3,8,3,0,369900
1654,2,6,1,8,130000
1700,2,5,2,27,137000
2910,3,5,1,6,143000
1677,1,5,1,48,79500
2352,2.5,7,2,4,185900
4018,3.5,10,3,1,451950
1632,2,5,2,5,138000
1696,2,6,2,6,140000
1848,1,5,1,33,110000
3640,3,8,3,0,319000
2052,1,6,1,13,114504
2660,2,7,3,0,194201
3077,3,5,2,29,217500
2272,3.5,6,2,28,151000
2962,3.5,8,2,1,275000
2155,1.5,6,1,57,141000
2823,3.5,8,2,14,220000
1800,2.5,7,2,5,151000
2988,3,7,2,6,221000
2754,2.5,7,2,19,205000
2080,2,5,2,13,152000
2904,4,5,1,4,225000
4159,2.5,8,2,9,359100
2058,2,4,1,46,118500
3593,3.5,9,3,9,313000
2064,2.5,6,2,29,148000
3171,3.5,8,2,8,261500
2240,1,5,0,0,147000
1260,2,4,0,38,75500
1990,2,6,2,47,137500
2292,3.5,6,2,3,183200
1664,1,6,2,54,105500
3650,2,9,3,0,314813
3744,3.5,8,3,5,305000
1728,2,3,0,58,67000
4136,2.5,6,2,11,240000
1960,1,5,2,32,135000
2268,2.5,6,2,7,168500
2522,3,6,2,34,165150
2232,1.5,6,2,48,160000
2400,1,5,1,29,139900
2676,2,6,1,38,153000
3120,2.5,5,2,38,135000
2598,2.5,6,2,44,168500
2386,1,5,1,15,124000
